Subject	Course Number	Description
AEM	2840	This course is an introduction to programming with Python for students aiming to enter the world of business analytics. Using business applied cases students will increase decision making efficiency and productivity through a detailed understanding of Python programming languages. Students will also learn how to use a range of Python libraries for data analytics such as NumPy, MatPlotLib, Seaborn, Pandas, and Scikit.
AEM	2850	This course provides business students with an introduction to the most important tools in R for programming and data visualization. Students will learn the basics of R syntax, data structures, data wrangling, and data visualization using the grammar of graphics. After taking this course, students will have the tools to complete basic tasks in R and interface effectively with statisticians and data scientists in business settings. This course also provides a foundation for future coursework to implement more advanced statistical methods in R.
AEM	3000	Part of the Grand Challenges program, the Pre-Project Immersion prepares students to work with a team during their senior year to solve a societal problem. The Immersion is an intensive learning experience with reinforcements throughout the semester. Students will build skills in working as part of a team, presenting to a client, reflecting on their experience, and demonstrating cultural humility.
AEM	3030	Explorations in Analytic Modeling is a fully online course offering a deeper exploration of model-based approaches to quantitative decision-making within a spreadsheet platform.  Applied decision-making primarily using Microsoft Excel as a business analytics tool will focus on performing descriptive, predictive and prescriptive analytics while addressing a wide range of business cases. Emphasis will be placed on exploration that enhances decision making to improve outcomes. This data-driven course will move the student from intro to the most complex functionality available in the Excel platform. Key topics will include data integrity, data management, visual analytics, text analytics, financial modeling, forecasting, optimization, pivot tables, simulation, and dashboard design. The course spans industries and verticals as we explore reasoning with data to address problems in business enterprises leading to optimal managerial decision-making, effective communication of recommendations, and understanding the world of business analytics.
AEM	3040	This course is a survey of topics related to: 1) the structure and performance of U.S. dairy markets; and 2) federal and state policies that regulate market activities. This is not a course in how to market or sell farm milk or dairy products, although we will discuss some topics related to marketing and dairy demand analysis. Policy sections emphasize understanding why regulations were created and how they impact market activity, as well as describing what they do.
AEM	3060	A broad overview of various aspects of the Fixed Income and Equities Markets and the role of Investment Banks. Topics, amongst others, will include: Securities Sales and Trading, Fiscal and Monetary Policy effects on Markets, Asset Management, Private Equity and Leveraged Buyouts, Mergers and Acquisitions, and Risk Management. Course will focus on real life practices and may include guest speakers, role playing and trading simulations.
AEM	3100	Focuses on techniques used to analyze data from marketing research, business, and economics. Topics include experimental design and ANOVA, contingency-table analysis, quality-control methods, time-series analysis, and forecasting. Also includes brief introductions to nonparametric methods and multivariate analysis. Involves a research project designed to give experience in collecting and interpreting data.
AEM	3110	This course introduces students to a design toolkit and mindset for creative problem solving that enables a shift from a 20th century, market-based perspective to a more sustainable, human-centered approach appropriate to this century&#039;s systemic challenges. Topics covered include: opportunity finding and innovation; the design thinking cycle of inspiration-interpretation-ideation-implementation; and visual communication. Students will learn to apply design strategies to their work to make it more integrated and collaborative. This course will require openness to new ways of (divergent) thinking.
AEM	3120	Branding has become one of the most important aspects of business strategy. Developing brand identity and strategy are critical steps in successful marketing of a product. Developing a brand strategy requires an understanding of: what is branding, how to develop brand equity, how to reach the target audience, the importance of consistent communications and brand planning. This course includes the concepts of brand, brand equity and strategic brand management. Topics covered include Brand Equity, Consumer Communications, Reaching Consumers and Brand Planning. Post this class participants will understand the importance of building brand equity and communicating throughout all consumer touch points. Class work includes a combination of case studies, lectures, and class discussions. Topics discussed will relate to real life business situations.
AEM	3205	AEM
AEM	3230	This course provides an introduction to the basic concepts, analyses, uses, and procedures of accounting and control used by internal company managers when they are faced with planning, directing, controlling, and decision-making activities in their organization. Topics covered focus on the relationship between strategy and decision-making and include product and service costing, budget setting, decision-making, profitability analysis, pricing, investment analysis, management control systems, and performance measurement.
AEM	3251	This course is a team oriented approach to allow students to understand through a simulation what happens when a new business is launched with funding in place. During the course of the implementation they will be presented with obstacles that often occur in &quot;real-life &quot; situations and learn how to develop creative ways to solve and overcome those obstacles. By the end of the term, it is expected that each team will have experienced (through simulation) managing a new venture.
AEM	3260	An evaluation of the fundamental principles, structure, finance, management and governance associated with the cooperative business model, with a focus on agricultural cooperatives. Analyses of the cooperative business organization within the modern economy are emphasized through a mix of lectures, guest speakers, case study discussions and, and experiential learning projects with cooperative businesses.
AEM	3370	Continuation of the in-depth study of accounting theory, generally accepted accounting principles, and the techniques involved in measuring, recording, summarizing, and reporting financial data for business organizations. Learn the GAAP accounting for revenue, investments, pensions, taxes, accounting changes, and statement of cash flows. Understand accounting alternatives within GAAP and accounting alternatives to GAAP for the topics covered so that students are prepared to understand and use future changes in GAAP. Course objectives will be achieved by a combination of lectures and analyzing and discussing articles from the financial press and cases that are based on actual financial statements.
AEM	3385	AEM 3385 is a hands-on learning experience that serves as an entry point for new Anabel&#039;s Grocery team members, introducing them to social entrepreneurship, food justice, systems thinking, collaborative leadership practices, and the day-to-day operations of Anabel&#039;s. No prerequisites and no previous experience with Anabel&#039;s required. The course is open to students regardless of major. We are looking for students with diverse interests who are passionate about making healthy food accessible to everyone through practical actions that further racial, economic, and ecological justice. This experiential-based course meets once a week. It includes small group discussion sessions and a practicum commitment of about 4 hours per week.
AEM	3400	
AEM	3520	The course will focus on developing a framework for analyzing financial statements to make business decisions. The framework is intended to enhance the ability to qualitatively and quantitatively assess financial information. Goals of the course include learning to read financial statements for relevant information, understanding the impact of a business&#039; accounting choices and estimates, analyzing financial ratios and cash flow measures and methods for valuation of a business. Cases are incorporated in class discussions and assignments in order to illustrate concepts and allow students to put into practice the tools presented.
AEM	3601	This course will focus on reflection from the winter trip, and preparation and presentation of your South Africa project.
AEM	3605	This seven week course will provide background information and discussion on the economic implications of the vote in the United Kingdom to exit from the European Union. The required readings, videos, and discussion will be followed by a ten-day trip to the UK.
AEM	4005	
AEM	4010	Organizational Analytics and Leadership is a fully online course and has been developed as an analytics based approach to managerial decision making for leaders using both data in a spreadsheet platform and leadership principles. Through case development and analysis, emphasis will be placed on the exploration and application of Microsoft Excel to enhance decision making and improve outcomes. Students will leverage complex functionality available in the Excel platform while applying critical thinking as a leader. Key mechanics employed will be: data literacy, data integrity, model integrity, visual integrity, presentation integrity as well as continued work in advanced methods of data management, data visualization, financial modeling, forecasting, optimization, pivot tables, and simulation. Key topics covered could be, but are not limited to, areas such as employee productivity, succession planning, organizational safety, employee satisfaction, team dynamics, leadership, Just-in-Time inventory, recruitment and selection, training, and engagement.
AEM	4015	Aimed at students who are interested in pursuing activities in customer strategy and analytics built around the notion of customer centricity. The primary objective of this course is to provide students with how customer relationship management (CRM) can help accomplish strategic initiatives, improve firm profitability and build lasting competitive advantage. Students will be exposed to the practical side of CRM through case studies and hands-on exercises. This course is particularly relevant for students interested in careers in consulting, strategy, marketing and retailing, as well as for entrepreneurs.
AEM	4060	This is a computer-based course that deals with the concepts of randomness and risk in financial management, capital budgeting, stock valuations, derivatives, and investment portfolios. The focus of the course is on applying realistic probability using Monte Carlo simulation to solve a variety of problems in finance.
AEM	4140	Behavioral economics integrates psychology and economics by identifying systematic anomalies in decision making. These are now recognized to be an important source of error in business decisions, and they provide the foundation for both behavioral marketing and finance. The course compares rational choice theory with behavior both in lecture and through a series of economics experiments in which students face situations that are likely to lead to anomalies such as &quot;the winner&#039;s curse,&quot; the status quo bias, hyperbolic discounting, and bias in assessing risks. Students have the opportunity to evaluate their own decision making.
AEM	4160	This quantitative course explores various pricing strategies by taking into consideration the role of consumer behavior, economics, statistics, and management science. Topics include: product tying and bundling, peak load pricing, price matching, warranty pricing, advanced booking, and the 99-cent pricing perceptions.
AEM	4190	The art of thinking strategically puts outdoing one&#039;s adversary at the core of the decision-making process, while anticipating that the adversary is doing exactly the same thing. Businesses make investment decisions and innovate products in anticipation of the reaction of their rivals; managers make pay contingent on peer performance, taking into account the reaction of their subordinates and superiors; national trade policies are formulated based on whether trading partners are committed to make credible concessions. This course introduces and explores the use of game theory to understand these interactions; students are expected to work with a balanced dose of both theory and relevant case studies. The objective of the course is to facilitate students&#039; ability to think strategically on firm level issues (e.g., pricing, advertising wars, product differentiation, and entry deterrence) and strategic policy interaction in international economic relations (e.g., trade wars and the arms race).
AEM	4200	
AEM	4210	Covers the pricing of derivatives and how derivatives can be used for the purpose of risk management and speculation. A portion of this course involves the use of spreadsheet or other computer programs.
AEM	4225	An investigation of the systems and software that capture and store accounting and economic information, and of the tools and techniques that support a robust use of that data for the benefit of individual enterprises and greater society. Topics include &quot;Big Data&quot;, Data Visualization, Optimization Tools and Accounting Support Systems and Databases. Students taking this course at the graduate level will have a semester project related to the extension of the utility of large data sets beyond their initial purposes.
AEM	4290	Teaches students about issues in international financial management and international investment. The major issues discussed include exchange rate volatility, the benefit of international diversification, and the analysis of international capital budgeting decisions. Specific topics include the determination of the cost of capital for foreign investments, the determination and management of foreign exchange risks and country risks, and the use of innovative financing for the multinational corporation.
AEM	4315	The goal of this course is to expand students&#039; understanding of the economics of developing countries. We will address questions like: why do some countries grow quickly and others slowly? What factors prevent countries, households, and individuals from escaping the cycle of poverty? How do policymakers balance economic growth and environmental sustainability? Why don&#039;t financial markets work well in most developing countries, and do informal institutions fill the gap? How do we analyze the challenges facing small-scale farming households, and how do decisions by those households influence migration, labor markets, and the growth of industry? How do we evaluate policies and programs in order to understand what works for development? The approach in this course will be primarily microeconomic, although a basic understanding of macroeconomics is important for some topics. Emphasis will be on theory, real-world examples, and reading and interpreting research and policy papers.
AEM	4350	The politics of the WTO and trade policy are explored. Examines what the WTO is, how it operates, how much power it really has, why it was created, and incentives for governments to cooperate. Also explores how WTO rules affect domestic politics and foreign policy goals and how WTO rules and agreements are enforced. Students also debate the effect of trade on growth and poverty.
AEM	4355	The course will introduce students to various perspectives and controversies regarding entrepreneurship in a unique market segment, healthcare. Utilizing a case based approach; students will gain an understanding of how healthcare differs from other business sectors, how opportunities are identified within different sectors of healthcare, and other issues including cost control and regulation. The course will assist students from multiple disciplines in determining whether healthcare entrepreneurship may be a suitable choice in their career future.
AEM	4410	This course provides a fundamental understanding of marketing research methods typically employed by firms. It is primarily aimed towards the manager who must decide the direction of research activities and focuses on how one should design research, construct questionnaires, and collect and analyze data. The course will primarily focus on the interpretation and use of results rather than mathematical derivations. Students will be exposed to the practical side of marketing research through problem sets and projects.
AEM	4421	The course complements the Student Multidisciplinary Applied Research Team (SMART) Program administered by CIIFAD. The goal of the course is to offer students a unique learning and service team experience, working with entrepreneurs and civil society organizations in emerging markets and economically disadvantaged communities. Students will learn about the challenges and opportunities of doing business and implementing development interventions in emerging markets. During the semester, students explore theories of economic and community development, analyze the projects on which they worked, write up case studies, and develop strategic recommendations for the enterprises or organizations they have partnered with.
AEM	4510	This class will focus on the role of the environment in the theory and practice of economics. It will make use of microeconomic analysis at the intermediate level and will incorporate real-world examples. It examines market failure, externalities, benefit-cost analysis, nonmarket valuation techniques, and cost-effective policy instruments.
AEM	4532	Individual and Institutional investors are increasingly aligning their investment portfolios to account for Environmental, Social and Governance (ESG) objectives.   ESG investing, however, is still in its infancy.  Academic thought, regulations and investor behavior are rapidly evolving.  This makes ESG investing an extremely interesting and dynamic area of study. By the end of this class, a student should be able to articulately incorporate ESG considerations into their overall investment recommendations and decisions.  This course should be beneficial to any student planning a career in equity investing, either as a direct investor, asset allocator or advisor.  Students planning on being corporate managers would also benefit from this class as ESG considerations are increasingly impacting the way corporations are managed.  This course is also suitable for anyone interested in sustainability issues broadly, but a basic knowledge of equity investing is required.
AEM	4534	This course presents the tax skills necessary to make business, and personal, decisions as it relates to real estate ventures. Emphasis is placed on such areas as acquiring ownership of real property, the various entity structures that a real estate venture can create, and the operational rules surrounding a real estate venture, including the sale and/or exchange of real estate. In addition, securitized real estate investments, such as limited/master limited partnerships and real estate investment trusts (REITS), will be introduced in the later part of course. Practical application of the tax law will be emphasized with proper consideration placed on the historical, economic and political perspectives of the Internal Revenue Code (IRC). The content and design of this course is, only, suitable for advanced undergraduate students and graduate students.
AEM	4550	This is an analytical and quantitative course focusing on advertising strategy. How does advertising affect product demand and competitive responses from rival products? Why and how do consumers respond to advertising? What is their sensitivity to advertising expenditures, if any? Can we measure that sensitivity? These are some of the questions analyzed during this course.
AEM	4560	This course presents the tax skills necessary to make business decisions regarding Corporations, Partnerships, Estates and Trusts. Emphasis is placed on such areas as organization and capital structure, earnings and profits, dividend distribution, redemptions, liquidations and reorganization of corporations. In addition, flow through entities such as partnerships and S Corporations will be studied along with estates, trusts, family tax planning and exempt entities. Practical application of the tax law will be emphasized with proper consideration placed on the historical, economic and political perspectives of the Internal Revenue.
AEM	4570	This course is designed to advance the understanding of corporate financial decision making. The class will further the corporate finance topics taught in AEM 2240 such cost of capital, capital structure, mergers and acquisitions, and dividend policy. Some topics in international corporate finance topics will also be discussed.
AEM	4590	This course examines financial markets and institutions from an asset owner&#039;s perspective. In particular, we study asset markets in stocks, bonds, real assets, illiquid assets, and impact investing. We discuss the roles of key financial institutions such as delegated investing intermediaries, mutual funds, hedge funds, private equity firms, and the Federal Reserve.
AEM	4600	The purpose of this course is to teach students how data analysis can inform strategy, within a framework centered on logical reasoning and practical communication. In doing so, we will develop the analytical tools and hands-on experience with data and economic models to optimally utilize information in decision-making, often in the context of economic consulting. The focus of the material will be on a subdivision of predictive analytics, called active prediction, which is most appropriate when evaluating business strategies. We will explore the implications and interrelationships between the use of prediction, business processes, and firm strategy. In addition, students will develop presentation and communication skills, particularly with regard to quantitative outputs, and learn valuable, targeted computer programming skills. Finally, students will learn the basics of identification in order to better understand which data is most useful to collect when answering a given empirical question.
AEM	4615	Business platforms are a set of business and technology building blocks that serve to facilitate the creation of complementary products and services. They are an essential feature of modern economies, particularly among products and services created by software. The emphasis of this course is on how to create, grow, gain value and capture market share from platforms. Course content will draw concepts from network effects, information asymmetry, pricing, and game theory. Students will apply these concepts to make decisions on how to manage platforms in case studies drawing from social media, entrepreneurship, enterprise software, and mobile services, among others. The course will be useful for students interested in founding new businesses, managing technology ventures and investing.
AEM	4630	This course examines topics in asset pricing and wealth management. We adopt a quantitative approach to asset management, and examine recent developments in the finance academic and practitioner literature on asset pricing and portfolio management.
AEM	4650	This is a foundational strategy course for students who will work for firms where innovation and technology is important to the competitive advantage of the firm. This includes tech firms like Google, Facebook, and Amazon as well as traditional technology firms like GE, IBM, and Corning. Innovation is also increasingly important to financial firms such as Capital One, Citibank and Jane Street (a quantitative trading firm). This year we will have guest speakers from Jane Street, Capital One labs and Apple. This course is important for students interested in consulting because innovation is a common topic that consultants have to address. It is also relevant to students with interests in entrepreneurship and corporate venturing.
AEM	4660	Course is required for completing the Dyson Business Minor for Engineers, but is open to all majors. By participating in a business simulation, students get experience applying key business principles, such as finance, accounting, marketing, economics and management in dynamic marketing settings. Participants make team-based and individual decisions based on imperfect information and aggressive time constraints. Through analysis, coaching and facilitation, the experience leads to learning the ways specific business decisions influence firm performance in a dynamic marketplace.
AEM	4661	This course is a business simulation course in which each student works as part of a team to manage a multidisciplinary healthcare clinic. Each team is responsible for making semi-annual decisions in four broad areas: revenues, payer mix, employees, and services. Teams will start in the same position, competing with one another to gain market share, generate revenue, and increase profitability.
AEM	4670	This course is designed to further the understanding of institutional investment management. The course covers key concepts in risk return trade-offs and asset allocation. Students are expected to implement various techniques using real world data. The course also covers select topics in portfolio risk management and current regulatory adjustments.
AEM	4700	This capstone course will only be open to students who have completed 75% of the required elements of the Dyson School&#039;s Leadership Development Program. The course will provide a structured environment for students to apply lessons they have learned through Program offerings with leadership experiences they have gained over the past two years (e.g., in a student organization).
AEM	4940	The department teaches &quot;trial&quot; courses under this number. Offerings vary by semester and are advertised by the department before the beginning of the semester.
